date,value,production
2022-01-31,-2.846774193548387,129482807.83333331
2022-02-28,-4.923214285714286,40293.5
2022-03-31,7.65,23956360.5
2022-04-30,,28861.666666666668
2022-05-31,,430205.25
2022-06-30,20.12727272727273,58196861.91666666
2022-07-31,23.720967741935485,1812698.4166666667
2022-08-31,23.724193548387092,94807603.08333331
2022-09-30,19.131666666666668,308755692.1666667
2022-10-31,9.819354838709678,
2022-11-30,-0.7830508474576272,
2022-12-31,-5.211290322580645,
2023-01-31,-2.083870967741936,129482807.83333331
