date,value,production
2022-01-31,5.335483870967742,5908524.263888888
2022-02-28,10.005357142857145,10366698.666666666
2022-03-31,13.239655172413793,6011176.916666666
2022-04-30,16.558333333333334,9386660.3
2022-05-31,22.553448275862067,2674803.083333333
2022-06-30,26.02586206896552,2231326.883333334
2022-07-31,27.826666666666664,4151907.733333333
2022-08-31,26.506666666666668,2916916.05
2022-09-30,23.54310344827586,1825122.4666666668
2022-10-31,15.682258064516128,1315240.4666666666
2022-11-30,13.62,2732869.416666667
2022-12-31,6.822033898305085,983795.1833333332
2023-01-31,9.485483870967744,5908524.263888888
