date,value,production
2022-01-31,-4.869354838709677,114828.51666666663
2022-02-28,-3.566071428571429,286462.36666666664
2022-03-31,3.2225806451612904,972494.6166666668
2022-04-30,8.639999999999999,137984.73333333334
2022-05-31,16.488709677419354,506277.7
2022-06-30,22.926666666666662,365852.31666666665
2022-07-31,24.92419354838709,1014294.1833333332
2022-08-31,23.537096774193547,210357.1
2022-09-30,20.043333333333333,653556.8166666667
2022-10-31,11.45,1518417.3
2022-11-30,1.3649999999999998,270513.1458333334
2022-12-31,-6.432258064516129,165647.29166666666
2023-01-31,-5.837096774193548,114828.51666666663
