date,value,production
2022-01-31,-1.1451612903225807,69160.58333333333
2022-02-28,-1.2,992.6666666666666
2022-03-31,2.367741935483872,69526.79166666666
2022-04-30,1.8383333333333332,161588.7916666667
2022-05-31,6.067741935483871,5058.125
2022-06-30,12.52,97925.625
2022-07-31,19.68387096774193,17375.958333333332
2022-08-31,19.948387096774194,50357.958333333336
2022-09-30,15.538333333333332,233365.75
2022-10-31,9.250819672131149,7856.291666666667
2022-11-30,-3.1310344827586207,217871.2916666667
2022-12-31,-3.6306451612903214,69241.04166666667
2023-01-31,-5.101612903225806,69160.58333333333
