date,value,production,price
2022-01-31,-1.220967741935484,20971632.324074075,322.1
2022-02-28,-0.0607142857142857,30922928.148148146,316.3
2022-03-31,6.814516129032258,9703767.175925927,394.5
2022-04-30,12.596551724137932,7074746.481481481,375.3
2022-05-31,18.98225806451613,15964258.759259256,390.4
2022-06-30,24.10333333333333,8097940.552083333,392.5
2022-07-31,25.79516129032258,15316238.802083334,311.3
2022-08-31,25.53548387096774,4970731.302083333,301.1
2022-09-30,21.91166666666667,6617350.552083333,307.0
2022-10-31,14.101612903225806,6344122.145833334,337.4
2022-11-30,5.601666666666668,18182745.010416664,329.5
2022-12-31,-1.030645161290323,6182631.84375,304.8
2023-01-31,0.1532258064516129,20971632.324074075,322.1
