date,value,production
2022-01-31,-6.291935483870968,2697136.1805555555
2022-02-28,-4.0285714285714285,4253365.569444444
2022-03-31,3.9145161290322585,575776.0666666667
2022-04-30,6.158333333333333,496621.1833333334
2022-05-31,10.933870967741935,53306.1
2022-06-30,18.061666666666667,922487.4833333332
2022-07-31,24.780645161290323,2260611.1333333333
2022-08-31,22.80161290322581,640324.9833333334
2022-09-30,18.98,859748.1
2022-10-31,10.59032258064516,548289.4333333333
2022-11-30,-0.7699999999999999,2098920.35
2022-12-31,-4.166129032258064,911770.8
2023-01-31,-4.916129032258064,2697136.1805555555
