date,value,production
2022-01-31,7.199999999999999,382704.8611111111
2022-02-28,7.533928571428571,643188.8194444444
2022-03-31,13.838709677419354,652862.0694444445
2022-04-30,20.473333333333336,836583.9166666666
2022-05-31,25.23064516129032,1187589.826388889
2022-06-30,29.74333333333333,492090.8181818182
2022-07-31,32.40806451612903,467925.5833333334
2022-08-31,30.36935483870968,589990.7348484849
2022-09-30,26.223333333333336,529557.303030303
2022-10-31,19.700000000000003,208366.5757575757
2022-11-30,12.701666666666666,419769.9621212121
2022-12-31,10.182258064516128,273527.38636363635
2023-01-31,10.629032258064516,382704.8611111111
