date,value,production
2022-01-31,-4.869354838709677,393529.4166666667
2022-02-28,-3.566071428571429,522.4166666666666
2022-03-31,3.2225806451612904,94647.66666666669
2022-04-30,8.639999999999999,1016.3333333333334
2022-05-31,16.488709677419354,5894.5
2022-06-30,22.926666666666662,138171.58333333334
2022-07-31,24.92419354838709,25902.83333333333
2022-08-31,23.537096774193547,229098.8333333333
2022-09-30,20.043333333333333,888783.5833333334
2022-10-31,11.45,
2022-11-30,1.3649999999999998,
2022-12-31,-6.432258064516129,
2023-01-31,-5.837096774193548,393529.4166666667
