date,value,production
2022-01-31,7.199999999999999,245021.76041666663
2022-02-28,7.533928571428571,361407.21875
2022-03-31,13.838709677419354,361265.1979166667
2022-04-30,20.473333333333336,69235.72619047618
2022-05-31,25.23064516129032,102604.0238095238
2022-06-30,29.74333333333333,76174.40476190476
2022-07-31,32.40806451612903,135346.82142857142
2022-08-31,30.36935483870968,54760.625
2022-09-30,26.223333333333336,47449.02380952381
2022-10-31,19.700000000000003,61091.91666666666
2022-11-30,12.701666666666666,90571.70833333331
2022-12-31,10.182258064516128,57588.569444444445
2023-01-31,10.629032258064516,245021.76041666663
