date,value,production,price
2022-01-31,11.429032258064517,437404966.6666666,82.1
2022-02-28,12.305357142857144,470943139.31041086,82.1
2022-03-31,14.158064516129032,541848828.3093423,83.2
2022-04-30,15.066666666666666,576622296.8231566,84.6
2022-05-31,17.845161290322583,682959152.0180638,85.4
2022-06-30,21.66,828958337.3355912,87.4
2022-07-31,21.580645161290324,825921317.2452723,92.5
2022-08-31,22.595161290322583,864748261.0828865,96.1
2022-09-30,23.035,881581500.4859345,96.4
2022-10-31,17.7241935483871,678329548.2218459,100.7
2022-11-30,11.001666666666669,421049090.8550507,119.0
2022-12-31,9.638709677419357,368886830.4826419,124.8
2023-01-31,10.091935483870968,386232412.7058048,82.1
