date,value,production
2022-01-31,7.308823529411764,49089255.46666666
2022-02-28,12.86964285714286,62752984.28333334
2022-03-31,16.111666666666668,77159534.11666667
2022-04-30,17.503846153846155,1443729.6
2022-05-31,23.616666666666667,21267221.266666666
2022-06-30,26.655,40958393.28333333
2022-07-31,28.008333333333333,22839909.18333333
2022-08-31,27.053571428571427,31765490.4
2022-09-30,24.7,187264256.46666667
2022-10-31,17.374193548387098,89855840.4375
2022-11-30,13.84318181818182,106734516.66666669
2022-12-31,9.55185185185185,4091202.5
2023-01-31,11.975806451612904,49089255.46666666
