date,value,production
2022-01-31,-2.846774193548387,17405805.76190476
2022-02-28,-4.923214285714286,10195287.238095235
2022-03-31,7.65,65172783.23809524
2022-04-30,,375984.8611111111
2022-05-31,,6904012.652777777
2022-06-30,20.12727272727273,16634050.9
2022-07-31,23.720967741935485,66633311.43333334
2022-08-31,23.724193548387092,9976409.75
2022-09-30,19.131666666666668,90088226.15
2022-10-31,9.819354838709678,39222657.333333336
2022-11-30,-0.7830508474576272,2045099.6666666667
2022-12-31,-5.211290322580645,7278610.458333333
2023-01-31,-2.083870967741936,17405805.76190476
